Wavelength (micron),fresh,1 pulse,2 pulses,3 pulse,5 pulses
5.975661132,0.063947893,0.065950425,0.064990523,0.065247292,0.067940178
5.973940477,0.064004397,0.06606389,0.064957106,0.065362486,0.068033799
5.972220812,0.064072419,0.066176999,0.064900376,0.06546639,0.06813928
5.970502137,0.064143373,0.066276879,0.064836949,0.065542569,0.068242942
5.968784451,0.064207838,0.066354262,0.064787267,0.06557994,0.068332234
5.967067753,0.064257563,0.06640551,0.064768624,0.065578195,0.068398522
5.965352042,0.06428837,0.066433546,0.064790062,0.065549936,0.068439594
5.963633761,0.064300191,0.0664448,0.064849277,0.065515285,0.068458831
5.961920024,0.064296875,0.066446367,0.064935357,0.065494323,0.068463219
5.960207272,0.064285119,0.066443988,0.065033464,0.065500618,0.068460833
5.958495504,0.06427335,0.066441562,0.065128722,0.0655381,0.068458693
5.956784718,0.064271466,0.066442551,0.065209385,0.065601878,0.068462379
5.955074915,0.06428922,0.066450463,0.065267559,0.065680718,0.068475427
5.953366093,0.064334251,0.066468872,0.065299389,0.06576122,0.068499355
5.951658251,0.064409854,0.066499958,0.065304552,0.065831707,0.068533644
5.949947849,0.064513698,0.066543258,0.065285887,0.065885184,0.068576607
5.948241967,0.064638511,0.066595012,0.06524906,0.065919951,0.068626532
5.946537064,0.064773719,0.066648569,0.065202327,0.065937639,0.068682479
5.944833137,0.064907453,0.06669605,0.065156508,0.065940672,0.068744562
5.943130187,0.065028434,0.066731035,0.065125178,0.06593109,0.068813877
5.941428212,0.065126568,0.066750704,0.065122664,0.065910456,0.06889093
5.939727212,0.065195004,0.066758278,0.065160671,0.065882181,0.068974539
5.938027185,0.065231994,0.066762746,0.065242725,0.06585319,0.06906079
5.936328132,0.06524311,0.066775816,0.065360748,0.065834196,0.069144199
5.934626528,0.065241088,0.066806786,0.065497594,0.06583658,0.069220486
5.932929419,0.065241476,0.066857624,0.065633948,0.065867275,0.069288268
5.931233281,0.06525713,0.066921828,0.065755525,0.065925321,0.069348447
5.929538113,0.065294755,0.066988224,0.065856138,0.066002985,0.069402457
5.927843913,0.065354221,0.067045942,0.065936434,0.066089337,0.069450711
5.926150681,0.065430164,0.067088771,0.066000686,0.06617432,0.069491817
5.924458416,0.06551337,0.067117272,0.066053511,0.066251551,0.069522994
5.922767117,0.065593189,0.06713884,0.066097982,0.066319624,0.069541243
5.921073277,0.065659429,0.067164836,0.066134511,0.066381098,0.069544473
