Wavelength (micron),fresh,1 pulse,5 pulses
3.031943036,-0.002381795,-0.002455361,-0.00227886
3.031500013,-0.002376899,-0.002483754,-0.002284256
3.031057121,-0.002358834,-0.002511382,-0.002299251
3.030614357,-0.002335806,-0.002536284,-0.002321779
3.030171723,-0.002317081,-0.00255685,-0.002347882
3.029729218,-0.002310523,-0.002572105,-0.002372491
3.029286842,-0.002320889,-0.002582265,-0.002391008
3.028843678,-0.00234981,-0.002587981,-0.00240084
3.028401561,-0.002395731,-0.002590191,-0.002402133
3.027959573,-0.002455242,-0.002590008,-0.002398377
3.027517714,-0.002523404,-0.002588906,-0.002395477
3.027075984,-0.00259448,-0.002588631,-0.002399736
3.026634383,-0.002661571,-0.002591648,-0.002415866
3.02619291,-0.002717524,-0.002599827,-0.00244475
3.025750651,-0.002755612,-0.002614236,-0.002482767
3.025309436,-0.002771703,-0.002633781,-0.002522578
3.02486835,-0.002765691,-0.0026551,-0.002555458
3.024427393,-0.002742246,-0.002672991,-0.002574228
3.023986564,-0.002710088,-0.002682457,-0.002575578
3.023545863,-0.002679412,-0.002680495,-0.002561481
3.023105291,-0.002658773,-0.00266761,-0.002538024
3.022664848,-0.002652133,-0.002648126,-0.002513482
3.022223619,-0.00265781,-0.002629385,-0.002495156
3.021783432,-0.00266943,-0.002619063,-0.002487255
3.021343374,-0.00267874,-0.002622663,-0.002490241
3.020903443,-0.002679126,-0.002642156,-0.002501253
3.020463641,-0.002668387,-0.002675115,-0.002516587
3.020023967,-0.002649195,-0.002716018,-0.0025333
3.019584421,-0.002627904,-0.002758331,-0.002550632
3.019145002,-0.002611682,-0.002796479,-0.002569661
3.018705712,-0.002605584,-0.002827357,-0.00259195
3.018265638,-0.002611083,-0.002850732,-0.002618026
3.017826604,-0.002626431,-0.002868203,-0.00264575
3.017387697,-0.002648025,-0.002882406,-0.002670672
3.016948917,-0.002672612,-0.002895688,-0.002686996
3.016510266,-0.002698813,-0.002909855,-0.002690324
3.016071741,-0.002726415,-0.002926022,-0.002679005
3.015633345,-0.002755741,-0.002944979,-0.002655989
3.015194166,-0.002785418,-0.002967369,-0.002627951
3.014756025,-0.002811664,-0.002993316,-0.002603587
3.014318011,-0.002828634,-0.003021822,-0.002591342
3.013880124,-0.002830549,-0.003050657,-0.002596643
3.013442364,-0.002813965,-0.003076203,-0.002620695
3.013004731,-0.002780207,-0.003094405,-0.002660009
3.012567225,-0.002735291,-0.00310245,-0.002708155
3.012129847,-0.002688688,-0.003099824,-0.002757271
3.011691688,-0.002650424,-0.003089728,-0.002800559
3.011254564,-0.002627823,-0.003078206,-0.002833889
3.010817566,-0.002623874,-0.003072958,-0.002856442
3.010380696,-0.002636647,-0.003080715,-0.002870535
3.009943952,-0.002660996,-0.003104912,-0.002880358
3.009507335,-0.002691156,-0.003144516,-0.002890583
3.009070844,-0.002722941,-0.003193782,-0.002904834
3.00863448,-0.002755324,-0.003244256,-0.002924868
3.008197338,-0.002790156,-0.003287118,-0.002950303
3.007761227,-0.002830699,-0.003316409,-0.002979075
3.007325243,-0.002879358,-0.00333047,-0.00300828
3.006889385,-0.002936592,-0.003332764,-0.003035282
3.006453653,-0.002999549,-0.003330525,-0.003058593
3.006018048,-0.003062938,-0.00333235,-0.003078259
3.005582569,-0.00312045,-0.003345389,-0.003095669
3.005146313,-0.003166518,-0.003373299,-0.003112874
3.004711989,-0.003197912,-0.003414997,-0.003131273
3.004275986,-0.003214904,-0.003465407,-0.003151427
3.003841012,-0.003220684,-0.003517074,-0.00317178
3.003406163,-0.003220582,-0.003562333,-0.00318959
3.00297144,-0.003219995,-0.003595403,-0.003201064
3.002536843,-0.003223168,-0.003613786,-0.003203261
3.002102372,-0.003231466,-0.003618223,-0.003194487
3.001668027,-0.003243261,-0.003612148,-0.003175689
3.001232906,-0.00325501,-0.003600062,-0.003150225
3.000798813,-0.003261976,-0.003586406,-0.003123467
3.000364844,-0.003260405,-0.003574237,-0.003101734
2.999931002,-0.003248967,-0.003565053,-0.003090723
2.999497284,-0.003229144,-0.003558921,-0.003094793
2.999063692,-0.003205086,-0.003555206,-0.003115744
2.998630226,-0.00318181,-0.0035532,-0.003152926
2.998196884,-0.003164172,-0.003552929,-0.003203278
2.99776277,-0.003155338,-0.003555142,-0.003262169
2.997329679,-0.003156211,-0.003561137,-0.003324146
2.996896713,-0.003165996,-0.003572647,-0.003383828
2.996463873,-0.003182991,-0.003591266,-0.003436958
2.996031158,-0.003205435,-0.003618046,-0.003481125
2.995598567,-0.003232457,-0.003653173,-0.003515981
